"Abteilung=[Amazon.de]","Suchbegriff=[]","ASINs oder Produkte eingeben=[]","Auswertungsbereich=[Monatlich]"," Wird angezeigt=[01.05.18 - 31.05.18]"
"Abteilung","Suchbegriff","Suchfrequenz-Rang ","#1 der angeklickten ASINs","Produkttitel #1","Klickrate #1","Umsatzrate #1","#2 der angeklickten ASINs","Produkttitel #2","Klickrate #2","Umsatzrate #2","#3 der angeklickten ASINs","Produkttitel #3","Klickrate #3","Umsatzrate #3"
"Amazon.de","sonnenschirm",23,"B01M0PU96R","Sonnenschirm Ø 290cm Stahl Gestell UV Schutz UPF 50+ Gartenschirm Marktschirm mit Kurbel und neigbar Schirmstoff anthrazit wasser- und schmutzabweisend Höhe 230 cm","17,27%","27,52%","B004EWGODW","Schneider Sonnenschirm Rhodos, natur, 300x300 cm quadratisch, Gestell Aluminium/Stahl, Bespannung Polyester, 23.3 kg","8,76%","2,97%","B0018SJ176","Explorer Sonnensegel, Sand, 3 x 4 m, 42231","6,66%","1,09%"
"Amazon.de","makita",24,"B01CO00N7I","Makita Akku-Schlagbohrschrauber 2 x 18V 3Ah, im Alukoffer inkl. 96-tlg. Zubehörset DHP453RFX2","13,01%","11,57%","B01JIOGFD4","Makita Akku-Schlagbohrschrauber (2x Akku/Ladegerät im Transportkoffer, 170 W, 10.8 V) HP331DSAX3","10,21%","11,57%","B0042CWWS0","Makita B-43044 Bohrer Bit Set 66tlg. im MAKPAC","8,31%","9,20%"
"Amazon.de","kühlschrank",25,"B013CP2MO6","Bomann VS 2262 Kühlschrank/A+/85.3 cm/109 kWh/Jahr/87 L Kühlteil/justierbare Standfüße/weiß","18,28%","33,14%","B004R9PS7U","Siemens KG39EAI40 iQ500 Kühl-Gefrier-Kombination / A+++ / 337 l / Edelstahl / Inox-antifingerprint / rechts wechselbar Türöffnung","13,35%","8,22%","B00JWC0X7M","Samsung RB29HER2CSA Kühl-Gefrier-Kombination/A++/178cm Höhe/Silber/188 L Kühlen/98 L Gefrierteil/No Frost","9,25%","4,40%"
"Amazon.de","grill",26,"B01MS3GOPP","Tepro Toronto Holzkohlegrill Click, anthrazit/edelstahl, 115 x 67 x 107 cm, Modell 2018","32,75%","32,22%","B00NUML234","Landmann 11527 PortaGo Holzkohlegrill, schwarz","10,36%","15,60%","B0001VQI2M","Grillchef by Landmann Holzkohle-Kugelgrill, Schwarz, 48 x 56 x 85 cm","9,16%","11,46%"
"Amazon.de","samsung",27,"B01N6M3K34","Samsung Galaxy A5 (2017) Smartphone ( 13,22 cm(5,2 Zoll) Touch-Display, 32 GB Speicher, Android 6.0) schwarz","11,91%","8,90%","B06XJ49G5B","Samsung Galaxy S8 Smartphone (5,8 Zoll (14,7 cm) Touch-Display, 64GB interner Speicher, Android OS) midnight black","11,18%","2,87%","B071G7K3D1","Samsung Galaxy J7 DUOS Smartphone (13,93 cm (5,48 Zoll) Touch-Display, 16 GB Interner Speicher, Android 7.0) Schwarz","9,88%","5,45%"
"Amazon.de","fitbit",28,"B07B9W4V3Z","Fitbit Versa Health & Fitness Smartwatch, schwarz, One Size, FB505GMBK-EU","29,59%","14,63%","B07B9WFFJV","Fitbit Versa Health & Fitness Smartwatch, pfirsich, One Size, FB505RGPK-EU","20,78%","13,25%","B074KBP5RV","Fitbit Ionic Health & Fitness Smartwatch, Charcoal, Onesize","10,70%","7,26%"
"Amazon.de","sodastream",29,"B06XGNM7R2","SodaStream CRYSTAL 2.0 Glaskaraffen Wassersprudler zum Sprudeln von Leitungswasser, mit spülmaschinenfester Glasflasche für Sprudelwasser. inkl. 1 Zylinder und 2 Glaskaraffen 0,6l; Farbe: Titan/Silber","33,01%","25,03%","B06XBZN1T1","SodaStream Easy PROMOPACK Wassersprudler zum Sprudeln von Leitungswasser, ohne schleppen! mit 1 Zylinder, 2 * 1L PET Flasche (BPA FREI!), 2 Design Trinkgläsern sowie 6 Sirupproben; Farbe: schwarz","22,95%","21,96%","B06XBRP5WY","SodaStream Crystal 2.0 Promopack Glaskaraffen Wassersprudler zum Sprudeln von Leitungswasser, inkl. 1 Zylinder, 2 Glaskaraffen 0,6l (spülmaschinenfest), 2 Trinkgläsern und 6 Sirupproben; Farbe: Titan","13,37%","18,09%"
"Amazon.de","alexa",30,"B01DFKBG54","Amazon Echo Dot (2. Generation) Intelligenter Lautsprecher mit Alexa, Schwarz","33,03%","35,85%","B06ZXQV6P8","Amazon Echo (2. Generation), Anthrazit Stoff","22,50%","23,81%","B01J2BL01K","Wir stellen vor: Amazon Echo Spot - Schwarz","10,94%","6,70%"
"Amazon.de","lego",31,"B075GQ854W","Lego Star Wars Kessel Run Millennium Falcon 75212 Star Wars Spielzeug","7,56%","0,89%","B075T1R6X9","LEGO Classic 10715 - Kreativ-Bauset Fahrzeuge, Spielzeug","6,65%","4,21%","B01J41DNWM","LEGO Creator 31058 - Dinosaurier, Dinosaurier Spielzeug","5,47%","8,69%"
"Amazon.de","nintendo switch spiele",32,"B07913DTK3","Donkey Kong Country Tropical Freeze - [Nintendo Switch]","17,25%","23,10%","B072155YKB","FIFA 18 - Standard Edition - [Nintendo Switch]","5,19%","4,70%","B01MUBNPYP","Super Mario Odyssey [Nintendo Switch]","5,02%","10,35%"
"Amazon.de","bluetooth kopfhörer",33,"B0756BRVXJ","Anker Bluetooth Kopfhörer SoundBuds Flow in Ear magnetisches Headset, mit Wasserschutzklasse IPX5/7-Stunden-Spielzeit/Mikrofon, federleicht für iPhone, iPad, Samsung, Nexus, HTC und mehr","50,04%","66,60%","B01M6WNWR6","JBL T450BT Kabelloser On-Ear Bluetooth Kopfhörer mit Integrierter Musiksteuerung und Mikrofon Kompatibel mit Apple und Android Geräten -Schwarz","21,35%","12,40%","B071GNH9MT","Anker SoundBuds Surge Bluetooth Kopfhörer, in Ear magnetischer Kopfhörer mit 6-Stunden-Spielzeit/Wasserschutzklasse IPX4/Mikrofon für iPhone, iPad, Samsung, Nexus, HTC und mehr","9,11%","11,40%"
"Amazon.de","fahrradschloss",34,"B0044U7ZUK","Abus Radschloss/Kettenschloss Steel O Chain 880","22,03%","24,07%","B00X5ZLEWK","Fischer Faltschloss mit Halter, One size, 85852","20,44%","18,52%","B0077KG5FA","Abus Kettenschloss 1500, Red, 60 cm, 56343","16,94%","28,99%"
"Amazon.de","iphone 7",35,"B01LSUYWO0","Apple iPhone 7 Smartphone (11,9 cm (4,7 Zoll), 32GB interner Speicher, iOS 10) matt-schwarz","38,35%","39,63%","B01N4RM2LQ","Apple iPhone 7 SIM-Free Smartphone Matt Schwarz 128GB (Zertifiziert und Generalüberholt)","18,71%","15,12%","B01N9VBVN1","Apple iPhone 7 SIM-Free Smartphone Matt Schwarz 32GB (Zertifiziert und Generalüberholt)","9,30%","11,47%"
"Amazon.de","muttertagsgeschenk",36,3868838686,"Was ich an dir liebe, Mama: Eine originelle Liebeserklärung zum Ausfüllen und Verschenken","31,65%","27,95%","B00TKF0MB8","Sheepworld 42911 Baumwollkissen Mama - Danke, dass es Dich gibt!, 40 cm x 40 cm","21,94%","33,70%",3848517663,"Don't worry, be happy, Mama!","10,49%","7,40%"
"Amazon.de","popsocket",37,"B01DNRMTA0","PopSockets: Ausziehbarer Sockel und Griff für Smartphones und Tablets - Blush","15,49%","17,83%","B00UY1YTGG","PopSockets: Ausziehbarer Sockel und Griff für Smartphones und Tablets - Black","12,61%","13,83%","B01EFKSCP0","PopSockets: Ausziehbarer Sockel und Griff für Smartphones und Tablets - White Marble","7,51%","8,40%"
"Amazon.de","nerf",38,"B01MXLMEAP","Hasbro Nerf B9837EU4 - N-Strike Elite Disruptor, Spielzeugblaster","18,91%","26,34%","B077BJNRZ8","Hasbro E0011EU4 Nerf N-Strike Elite Surgefire, Spielzeugblaster","11,18%","10,40%","B01D4GA4AM","Hasbro Nerf 98696EU4 - N-Strike Elite Retaliator Spielzeugblaster in verschiendenen Farbausführungen","10,60%","13,74%"
"Amazon.de","smartwatch",39,"B01LF0T51I","Samsung SM-R760NDAADBT Gear S3 frontier Smartwatch (3,3 cm (1,3 Zoll) Display, NFC, Bluetooth, WLAN, Tizen OS, mit Silikon-Armband)","22,73%","22,87%","B01M32DGTO","Fossil Q Herren-Smartwatch FTW2117","15,99%","14,36%","B074GLXRMK","Fossil Herren Smartwatch Q Explorist 3. Generation - Leder - Braun/Klassische & elegante Smartwatch im Vintage Design mit vielen Funktionen & Features/Für Android & iOS","8,80%","5,32%"
"Amazon.de","powerbank",40,"B00VJT3IUA","Anker PowerCore 20100mAh Externer Akku - kompakter als jemals zuvor - extrem hohe Kapazität 2-Port 4.8A Output Power Bank Ladegerät mit PowerIQ Technologie für iPhone, iPad, Samsung Galaxy und weitere (Schwarz/Matt)","61,69%","56,99%","B00XTXY0JW","EasyAcc Powerbank 10000mAh Externer Akku dünn und leicht Portable Smart Ladegerät für iPhone, Samsung und weitere","10,58%","12,97%","B00MWU1GGI","Poweradd Slim 2 Externer Akku 5000mAh Power Bank Handy Ladegerät für Smartphones, MP3 usw.","9,35%","13,04%"
"Amazon.de","handy",41,"B01MU9R2EN","Huawei P8 Lite 2017 Smartphone (13.2 cm (5.2 Zoll) Full-HD Touchscreen, 16 GB, Android 7.0) black","21,54%","15,76%","B01CT6Q628","Samsung Galaxy J3 DUOS Smartphone (12,63 cm (5 Zoll) HD Super-AMOLED-Touchscreen, 8 GB, Android 5.1 Lollipop) schwarz","11,90%","11,24%","B075CP646D","Nokia 105 Mobiltelefon - Version 2017 - deutsche Ware (1,8 Zoll Farbdisplay, FM Radio, 4 MB ROM, DUAL-Sim) schwarz","8,39%","12,53%"
"Amazon.de","pampers",42,"B00AGTP9H4","Pampers Premium Protection New Baby Gr.2 Mini 4-8kg MonatsBox","19,45%","16,79%","B074BWQQJT","Pampers Premium Protection New Baby Gr.1 Newborn 2-5kg Tragepack, 4er Pack (4 x 23 Stück)","11,73%","11,44%","B00AR9HWZ0","Pampers Baby Dry Gr.4 Maxi (9-14/8-16 kg) MonatsBox","11,65%","18,28%"
"Amazon.de","planschbecken für kinder",43,"B00R8267PK","Intex 57138NP - Spielcentrum Fantasy Burg","12,68%","5,67%","B001O9C41O","Bestway Family Pool Blue Rectangular, 262x175x51cm","11,68%","16,31%","B0000U11LW","Intex Babypool Sunset Glow, 3-Ring, Mehrfarbig, Ø 147 x 33 cm","11,56%","15,45%"
